Id, target
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\mozilla firefox
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\opera
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\reader
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\sogouinput
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\tencent
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\ucbrowser
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\winrar
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\winzip
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\Microsoft\\Edge\\Application
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\Microsoft\\Edge\\Application\\msedge.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\Microsoft\\Edge Dev\\Application\\msedge.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\Microsoft\\Edge Beta\\Application\\msedge.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\Microsoft\\Edge\\Application\\*\\msedgewebview2.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\Microsoft\\Edge Dev\\Application\\*\\msedgewebview2.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\Microsoft\\Edge Beta\\Application\\*\\msedgewebview2.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\Microsoft\\EdgeWebView\\Application\\*\\msedgewebview2.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programW6432%\\Microsoft\\Edge\\Application\\msedge.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programW6432%\\Microsoft\\Edge Dev\\Application\\msedge.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programW6432%\\Microsoft\\Edge Beta\\Application\\msedge.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programW6432%\\Microsoft\\Edge\\Application\\*\\msedgewebview2.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programW6432%\\Microsoft\\Edge Dev\\Application\\*\\msedgewebview2.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programW6432%\\Microsoft\\Edge Beta\\Application\\*\\msedgewebview2.exe
